label	message	length	punct
ham	As discussed earlier, Friendly reminder: The management has approved the exceptional bonus of Rs 35,000 for your team. HR will process it in the next payroll cycle. Please keep this within the team until the official announcement. Please acknowledge.	250	7
ham	Sorry, I'll call later in meeting any thing related to trade please call Arul. <#>	82	6
ham	Hi there, URGENT REMINDER: Your hostel room rent of Rs 6,500 is due by Friday. Non-payment will result in disconnection of internet and mess facility access as per hostel administration policy. Regards.	202	7
ham	Important: Welcome to the team! Your first day orientation is scheduled for 1st April at 9:30am. Report to the reception at our Bangalore office. Address and directions are at https://company.com/offices/bangalore	213	11
spam	SPECIAL ALERT: 88800 and 89034 are premium phone services call 08718711108	74	1
spam	EXCLUSIVE OFFER: AADHAAR UPDATE required before 31st March or your SIM will be disconnected. Call 1800-AADHAAR-UPDATE now to complete biometric verification. Act within 2 hours!	177	6
spam	ACT NOW: Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk	164	5
spam	Cashbin.co.uk (Get lots of cash this weekend!) www.cashbin.co.uk Dear Welcome to the weekend We have got our biggest and best EVER cash give away!! These..	155	12
ham	WOT U WANNA DO THEN MISSY?	26	1
spam	URGENT: EXCLUSIVE! NRI quota seats available in top engineering colleges! No JEE required. Pay Rs 15 lakh. Apply at http://nri-quota-engineering.net Limited seats available!	173	12
ham	Going to take your babe out ?	29	1
spam	DEAR SIR/MADAM: CUSTOMS DEPARTMENT: A parcel addressed to you from the United Kingdom has arrived at the Indira Gandhi International Airport. It contains electronic items declared at Rs 1,89,000. As per import regulations you are required to pay customs duty of Rs 12,500 before the parcel can be released. Failure to pay within 5 days will result in disposal of the parcel.	374	10
ham	You will go to walmart. I.ll stay.	34	3
ham	Hi there, The compliance audit by the internal team is scheduled for the last week of March. All department heads should ensure their documentation is in order and accessible to the audit team. Looking forward to your response.	227	4
spam	URGENT: FINAL WARNING: CONGRATULATIONS! Your mobile number has been selected as the winner of Rs 8,00,000 in our national lucky draw. Call 09988776655 immediately to claim your prize before it expires tonight!	209	7
spam	LIMITED TIME: My name is Dr. Sarah Williams. I am a British doctor working in conflict zones. I have developed strong feelings for you after seeing your profile. I am coming to India next month but need Rs 50,000 for my flight and visa expenses. I will spend my entire life with you.	283	8
spam	Dear Customer, As part of our mandatory annual KYC review, we require all profile holders to resubmit their identification documents. kindly contact our verification helpline within 48 hours. Non-compliance will result in suspension of all profile services including net banking, mobile banking and debit card transactions.	323	7
spam	PRIORITY MESSAGE: DIGITAL MARKETING COURSE: Earn Rs 1,00,000 monthly after 30-day course! 100% placement guarantee. Only Rs 5,000 fee. Call 9876543210 to enroll today. Batch starts next Monday. Limited seats only!	213	13
ham	Otherwise had part time job na-tuition..	40	3
ham	Following up on this: The semester timetable for April exams has been uploaded on the student portal. Please download and note your exam schedule. Any clashes should be reported to the examination section within 48 hours.	221	4
ham	Just finished eating. Got u a plate. NOT leftovers this time.	61	3
ham	Hmm ok, i'll stay for like an hour cos my eye is really sore!	61	3
ham	Kindly be informed that This is a reminder that the last date to submit your college transfer application is 28th February. Submit all documents at https://ugadmissions.pune.edu/transfer before the deadline.	207	8
spam	I am a nurse in a foreign hospital and I have a dying patient who wants to transfer his estate worth Rs 5 crore to a trustworthy Indian person. You will get 20% for your help. Please respond urgently.	200	4
spam	SPECIAL SELECTED: Amazon Pay: Rs 4,999 deducted 4 Prime renewal. To cancel & get refund call 1800-AMAZON-HELP within 2 hrs. Ref: AMZ20240315. If already done ignore this message.	178	11
ham	Yeah I don't see why not	24	1
spam	This is an automated alert from your internet service provider. We have detected unusual data usage patterns on your connection indicating possible malware infection. Call our technical support team immediately.	211	3
spam	SPECIAL SELECTED: Good evening, I hope you had a good day. I am getting in touch regarding a courtesy reminder about your fixed deposit that is maturing shortly. To ensure seamless reinvestment at the best available rates I would like to discuss your options personally. Please do call me at your convenience so that I can assist you effectively and ensure you get the best returns. Do not delay!	396	7
ham	Hi neva worry bout da truth coz the truth will lead me 2 ur heart. Its the least a unique person like u deserve. Sleep tight or morning	136	2
ham	[…] anyway, many good evenings to u! s	38	4
spam	SPECIAL ALERT: LAST CHANCE: Claim your unclaimed reward points worth Rs 8,500 by calling 1800-REWARDS today. Points expire on 31st December midnight.	149	6
spam	DEAR VALUED CUSTOMER: SPECIAL ALERT: Respected sir, I am a retired government officer with inside information about a government land auction next month where plots will go for 1/10th of market price. Only 10 spots available. Pay Rs 10,000 to register.	252	8
spam	LIMITED TIME: Dear Taxpayer, Our data analytics team has detected inconsistencies in your income tax return for assessment year 2023-24. The discrepancy amount is Rs 1,23,450. Please call the Income Tax Grievance Cell immediately. Ignoring this notice may result in a tax raid and prosecution under section 276C. Call immediately!	330	10
ham	This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again!	96	5
spam	URGENT MESSAGE: The bank has received a legal attachment order against your account from a court in Chennai. Your account will be frozen within 72 hours unless you call our legal compliance team with your case reference number.	227	3
spam	IMPORTANT NOTICE: December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906 Offer expires tonight! Act within 2 hours!	219	7
spam	FreeMsg: Hey - I'm Buffy. 25 and love to satisfy men. Home alone feeling randy. Reply 2 C my PIX! QlynnBV Help08700621170150p a msg Send stop to stop txts	154	7
spam	EXCLUSIVE OFFER: Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1	154	9
spam	INCOME TAX RAID: Based on your financial transactions a raid has been scheduled at your address. Pay compounding fee of Rs 25,000 via Paytm to 9876543210 to cancel the raid.	173	4
spam	EXCLUSIVE OFFER: Hi, this is Priya. I got your number from our common friend Rahul. I am in a bit of a crisis and need help urgently. Can you spare Rs 15,000 for just 3 days? I will explain everything. Do not delay!	215	9
ham	Quick update — Just a heads up that tomorrow's 8am class has been cancelled. The professor has a meeting with the board. She will reschedule for Friday or next week. Check the portal.	183	5
ham	Please note that Could you please review the report I sent yesterday and let me know your feedback before the meeting tomorrow? I want to make sure the data section is accurate before we present.	195	2
ham	As discussed earlier, The due diligence on the acquisition target has flagged material environmental liabilities and underfunded pension obligations. We need to discuss these with external counsel before making a final decision. Please confirm receipt.	252	4
spam	DEAR USER: Dear Customer, your registered address does not match the address in your latest utility bill which is required for regulatory compliance. Please call our branch to update your address within 7 working days.	218	4
ham	Cool. So how come you havent been wined and dined before?	57	2
spam	THIS IS TO INFORM YOU: DEAR USER: Your WhatsApp account is being accessed from a new device in China. Call WhatsApp India support at 1800-WHATSAPP within 1 hour to secure your chats and account right away Limited time only!	223	5
ham	Hi there, As discussed earlier, Bhai can you lend me Rs 300 until Friday? I forgot my wallet at home today and I need money for lunch and the xerox shop. I will return on Friday after my ATM withdrawal.	202	5
ham	Hey loverboy! I love you !! I had to tell ... I look at your picture and ache to feel you between my legs ... Fuck I want you ... I need you ... I crave you .	158	16
spam	ATTENTION: URGENT: As part of our annual KYC verification all customers must resubmit identity documents. Failure to finish KYC by 31st March will result in suspension of all banking services including net banking and UPI.	222	4
ham	Kindly be informed that Dear student, your assignment submission for Operating Systems CS301 is due on Friday 8pm. Submit through the portal at https://lms.vit.ac.in/submit Late submissions will not be accepted.	211	10
ham	Dad wanted to talk about the apartment so I got a late start, omw now	69	1
spam	IMPORTANT NOTICE: Hi, this is your electricity department meter reader. There is an error in your meter reading that has caused you to be overcharged by Rs 8,000. Pay me Rs 1,000 in cash and I will fix it in the records.	220	7
spam	ACT NOW! BPO JOBS: Earn Rs 22,000/month in night shift from home! US clients. enroll at http://bpo-home-jobs.xyz Rs 399 registration. Immediate joining!	152	14
ham	Friendly reminder: Our cultural fest Euphoria 2024 is accepting volunteer applications. Interested students should fill the form at the student affairs office. 300 volunteer positions available across all scheduled events. Looking forward to your response.	256	5
ham	Friendly reminder: All employees must send investment declarations for tax saving for FY 2024-25 through the payroll portal before 31st January to avoid higher TDS deductions in the February and March salary.	208	3
spam	SPECIAL SELECTED: YOUR EPF BALANCE can be withdrawn instantly! We process same day. Pay Rs 500 fee. Call 9988776655. UAN not required. 100% guaranteed success. Last opportunity!	177	9
ham	Please be informed that Your income tax return for AY 2023-24 has been filed successfully. The ITR-V acknowledgement is available for download from the e-filing portal. Save a copy for your personal records.	207	6
ham	Ok ill send you with in <DECIMAL> ok.	37	3
spam	EXCLUSIVE! Your Swiggy order is eligible for Rs 500 cashback! Claim at http://swiggy-cashback-claim.net Offer valid for next 30 minutes only!	141	9
ham	Just to let you know that You have been randomly selected for a paid user research study by our UX team. The session is 60 minutes and pays Rs 1,500. Reply YES to confirm your availability for a session this Thursday afternoon.	227	4
ham	When did dad get back.	22	1
spam	IMPORTANT NOTICE: sexy sexy cum and text me im wet and warm and ready for some porn! u up for some fun? THIS MSG IS FREE RECD MSGS 150P INC VAT 2 CANCEL TEXT STOP	162	3
ham	FYI: Maa called and said the function at home is next Sunday. She wants all of us to be there by 10am. Please confirm if you can make it so she can plan the food. Let me know if you have questions.	197	5
spam	FINAL WARNING: RAILWAY JOB without exam! Direct appointment. Pay Rs 5000 to agent. Call 9988776655 immediately. Offer for unemployed youth only. Apply now.	155	7
spam	PRIORITY MESSAGE: DEAR VALUED CUSTOMER: We have received a complaint from your building society regarding noise violations at your address. To avoid a formal notice being issued kindly contact our dispute resolution cell before this Friday at 5pm.	247	4
spam	EXCLUSIVE OFFER: Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX	166	5
ham	Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know	138	4
spam	HURRY! Win FREE recharge worth Rs 500! Share this link with 10 friends: http://free-recharge-trick.net and get instant recharge on your number!	143	10
spam	RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!	153	13
spam	IMPORTANT NOTICE: Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1	155	9
ham	Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?	73	6
ham	Can come my room but cannot come my house cos my house still messy... Haha...	77	6
spam	SPECIAL SELECTED: important BSNL OFFER: Get 100GB free data by clicking http://bsnl-free-data.net Enter your mobile number and enjoy free data for 30 days!	155	9
ham	Friendly reminder: I need you to process this payment of Rs 1,50,000 to the vendor now itself. The CEO has verbally approved it. I will send the written approval by end of day but please initiate now.	200	6
ham	This is a reminder that For your information: Friendly reminder: Your Airbnb booking for Goa from 15th to 18th March is confirmed. Check-in time is 2pm. The host will share directions on the day. Have a great trip and explore the beaches around the property.	258	7
spam	DEAR USER: This is to inform you that your name has been included in the final list of beneficiaries. Please confirm your details with our representative to complete the disbursement process within this week.	208	3
spam	ACT NOW! PART TIME JOBS for students! Earn Rs 12,000/week in 2 hours daily. Apply now at http://parttime-student-jobs.net 10,000 students already earning!	154	13
spam	act soon Work from home opportunity for housewives and students! Earn Rs 1000/day by watching YouTube videos. Register at http://youtube-earn-india.net	151	9
ham	Please note that This is to inform you that the annual sports meet registration is now open. Register your events at https://sports.college.edu/register before 28th February. Event schedule is available on the same portal.	222	9
ham	Please be informed that The annual prize distribution ceremony for toppers and sports champions will be on 30th March at 10am in the college auditorium. All students and faculty are cordially invited to attend. Looking forward to your response.	244	3
ham	Happy new years melody!	23	1
spam	IMPORTANT NOTICE: UNIVERSITY MARKSHEET UPGRADE: We can change your percentage from below 60 to above 75 in the university database. Fee Rs 20,000. Permanent change. Call 9988776655 now.	185	7
spam	DEAR USER: HEALTH MINISTRY ALERT: You have been identified as a close contact of a confirmed monkeypox patient. As per health protocol you must self-isolate immediately and call our disease surveillance officer for contact tracing and treatment guidance. A penalty of Rs 10,000 under Epidemic Diseases Act will be imposed if you fail to comply within 6 hours. Offer expires tonight!	382	8
ham	Just to let you know that The patent filing for our proprietary AI algorithm has been accepted by the Indian Patent Office. This protects our core technology for 20 years. Legal and R&D teams to be commended for this achievement. Please acknowledge.	249	5
ham	Hi team, All hostel students must vacate their rooms by 30th April for the summer break. Rooms must be cleaned and keys returned to the warden. Re-allotment for the next semester begins from 1st July online.	207	5
spam	SPECIAL ALERT: ALERT: Suspicious transaction detected on your account. Call 1800-FRAUD-HELP immediately to reverse Rs 34,999 deducted from your account. Call now or miss out!	174	8
ham	Tell them u have a headache and just want to use 1 hour of sick time.	69	1
spam	URGENT: Your bank account will be blocked in 24 hours. Call our helpline 1800-BANK-HELP right away and confirm your details to avoid suspension.	144	5
spam	DEAR VALUED CUSTOMER: ACT NOW: Your Paytm wallet number has won Rs 75,000 in our monthly cashback draw! Call 1800-PAY-WIN to verify your identity and receive your winnings within 2 working days.	194	7
ham	As discussed earlier, IMPORTANT: Your vehicle insurance expires in 15 days. Renew before the expiry date to avoid a lapse in coverage and a fine if stopped by traffic police. Contact your insurer or renew online at the IRDAI portal.	232	5
spam	OFFICIAL COMMUNICATION: Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer	191	8
ham	Just to let you know that Following up: Your PG accommodation rent for March is due. Please transfer Rs 8,500 to the owner's bank account before 5th March to avoid any inconvenience. Contact the owner if you need any bank details.	230	6
spam	SPECIAL SELECTED: HURRY! Get FREE GOLD COIN by downloading our app! Visit http://free-gold-app-india.net and collect your 1 gram gold coin today. Limited offer! Call now or miss out! Call now or miss out!	204	14
ham	Ya they are well and fine., BBD(pooja) full pimples..even she become quite black..and ur rite here its too cold, wearing sweatter..	131	11
spam	IMPORTANT NOTICE: WEIGHT LOSS INJECTION: Lose 15 kg in 30 days with our US imported injection! No diet no exercise! Rs 4,999 per month. Doctor supervised. Call clinic at 9988776655 now.	185	8
ham	Quick update — There is a career fair happening in the main auditorium on 25th March. Over 30 companies will have stalls. Worth going even if just to explore options and collect brochures. Please take note.	206	4
spam	FINAL WARNING: URGENT MESSAGE: Hi, I am Sarah from LinkedIn. I came across your profile and think you would be perfect for a senior role at a top company paying Rs 25 lakh per annum. Please call me to discuss this opportunity further. Offer expires tonight!	257	7
ham	Love you aathi..love u lot..	28	4
spam	IMPORTANT NOTICE: SPECIAL ALERT: ALERT: You have an unclaimed prize worth Rs 3,50,000 in your name from last year's draw. Call 1800-UNCLAIMED before 31st March or the reward will be forfeited to charity.	203	9
ham	Important: Dear applicant, we are pleased to inform you that you have cleared the first round of our selection process. The next round is a technical interview scheduled for 22nd March at 2pm via Google Meet.	208	4
spam	SPECIAL SELECTED: LAST CHANCE: Claim your unclaimed reward points worth Rs 8,500 by calling 1800-REWARDS today. Points expire on 31st December midnight. Time is running out!	173	7
ham	Just to let you know that Can you send me the latest version of the spark spread model before our executive presentation next week? I need to run sensitivities on gas prices and heat rates for the generation economics section. Please acknowledge.	246	3
spam	LIMITED TIME: SPECIAL ALERT: Your Amazon Prime membership is up for renewal. As a loyal customer you have been selected for a special 2 year plan at just Rs 499 total. Call our user care before tonight to activate this exclusive offer.	235	5
spam	THIS IS TO INFORM YOU: This is regarding the matter we discussed at the seminar last week. I have made progress on the arrangement and need your green light to proceed. Please call me today so we do not miss the window.	219	4
spam	URGENT! You are our 1000th visitor! Claim your FREE Amazon gift card worth Rs 2000 at http://amazon-gift-free.click No purchase required!	137	9
spam	ENGINEERING COLLEGE BACKLOG CLEAR: Pay Rs 8,000 per subject and we will clear all your university backlogs. Results in 30 days. Trusted by 10,000 students. Call 9876543210.	172	7
spam	THIS IS TO INFORM YOU: Good morning. A friend suggested you might be interested in what I do. I help people create passive income without quitting their job. I do not want to explain it in a message because it sounds too good in text. But I can assure you it is completely legal and proven. Free to talk? Act before it is too late!	331	8
ham	You aren't coming home between class, right? I need to work out and shower!	75	4
spam	FINAL WARNING: Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394973 from Landline DATEBox1282EssexCM61XN 150p/min 18	171	5
spam	FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv	147	8
ham	Hi there, Please keep this confidential but the project budget has been revised upward to Rs 45 lakh. We can now proceed with the premium vendor we discussed. Please draft the purchase order today.	197	4
spam	ONLINE EXAM HELP: We will appear in your online exam for you! Contact http://exam-help-online.xyz Rs 2999 per subject. Pass guarantee!	134	10
ham	Security alert: Someone attempted to access your company email from an unrecognized location. Your account has been temporarily locked as a precaution. Contact the IT support desk to unlock your account.	203	4
spam	Your CIBIL report shows a loan of Rs 8,50,000 taken in your name that you did not apply for. Call CIBIL fraud helpline immediately to file a dispute and protect your credit score.	179	4
ham	Wish i were with you now!	25	1
spam	SPECIAL SELECTED: HURRY! HOT SINGLES IN YOUR AREA! Click http://dating-india-hot.net to meet them now! 100% free registration. 50,000 girls waiting! Act before it is too late!	175	15
spam	URGENT: This is to inform you that your child's school fee cheque has bounced due to insufficient funds. kindly pay the outstanding amount of Rs 12,000 along with Rs 500 bank charges within 3 days to avoid legal action.	219	5
spam	EXCLUSIVE OFFER: IRCTC Alert: Ur e-ticket PNR 4567891234 train 12657 on 25-Mar has WAITLIST. Upgrade to confirmed seat by paying Rs 299 on PhonePe 9988776655. Offer valid 2 hrs only.	182	7
ham	Haha... They cant what... At the most tmr forfeit... haha so how?	65	10
spam	FINAL WARNING: ATTENTION: IMPORTANT NOTICE: NEWSPAPER AGENCY: Get newspaper distribution agency in your area. Earn Rs 20,000 monthly with just 2 hours of morning work. Pay Rs 2000 registration. Call 9988776655 now.	214	9
spam	URGENT! EXCLUSIVE OFFER for you only! Buy 1 get 3 FREE on all medicines. Order at http://cheap-medicine-india.xyz Home delivery available. COD accepted!	152	11
ham	Following up: For your information: The results for the internal assessment have been uploaded. I got 18 out of 20 in mathematics which I am happy about. How did you do? Let me know when you check.	197	6
spam	83039 62735=£450 UK Break AccommodationVouchers terms & conditions apply. 2 claim you mustprovide your claim number which is 15541	130	3
spam	HURRY! FREE RECHARGE APP: Earn unlimited free Jio Airtel recharge by clicking ads. Download at http://recharge-free-app.xyz Withdrawal via Paytm!	145	10
ham	This is a reminder that I need someone to cover the trading desk next Monday morning. I have a medical appointment and will not be in until 11am. Can anyone take the first 2 hours? Please reply by end of today so I can confirm.	227	4
ham	Thank you. I like you as well...	32	4
spam	OFFICIAL COMMUNICATION: Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call Limited time only!	186	8
ham	Kindly note that HR needs all employees to complete the benefits enrollment update by end of this week. Log in to the employee self-service portal and confirm selections for the new plan year before the system closes.	217	3
spam	important Dear Winner, Your email ID has been randomly selected for a Rs 50,000 cash prize. Visit http://cashprize-draw.net and enter code WIN2024 to collect!	158	9
spam	URGENT: Sppok up ur mob with a Halloween collection of nokia logo&pic message plus a FREE eerie tone, txt CARD SPOOK to 8007	124	3
spam	DEAR USER: Freemsg: 1-month unlimited free calls! Activate SmartCall Txt: CALL to No: 68866. Subscriptn3gbp/wk unlimited calls Help: 08448714184 Stop?txt stop landlineonly Time is running out!	192	11
ham	Just gettin a bit arty with my collages at the mo, well tryin 2 ne way! Got a roast in a min lovely i shall enjoy that!	119	3
spam	EXCLUSIVE! Your Amazon profile has been hacked! Change password immediately at http://amazon-india-secure.net and verify your amount methods! Time is running out!	162	10
spam	FINAL WARNING: FREE ASTROLOGY REPORT worth Rs 2,000 now FREE! Get your complete life prediction, marriage, career, health report. Call astrologer Pandit Sharma at 9876543210 before midnight for free consultation. Call now or miss out!	234	9
ham	Just to let you know that I think I left my calculator in the physics lab yesterday during the 3pm batch. Can you check if it is still there when you go for your practical today? It is a Casio.	193	3
spam	URGENT MESSAGE: Respected sir, I am a retired government officer with inside information about a government land auction next month where plots will go for 1/10th of market price. Only 10 spots available. Pay Rs 10,000 to register.	231	7
spam	SPECIAL SELECTED: Congratulations! You have won a Samsung Galaxy S24 in our lucky draw. Call 09988776655 now to arrange free delivery to your address today. Last opportunity!	174	5
ham	Hi team, Please note that the expense reimbursement policy has been updated effective April 1st. The per diem for domestic travel has been revised to Rs 2,500 per day. New policy document shared on intranet.	207	5
ham	Im sorry bout last nite it wasnt ur fault it was me, spouse it was pmt or sumthin! U 4give me? I think u shldxxxx	114	3
ham	It certainly puts things into perspective when something like this happens	74	0
ham	This is a reminder that You have been selected to represent the college at the national youth parliament in Delhi next month. Travel and accommodation will be fully funded by the college. Confirm your participation by Friday evening.	233	3
spam	EXCLUSIVE! ADMISSION OPEN: Medical college seats for NEET failed students! Pay Rs 50 lakh and get guaranteed MBBS admission. Contact http://mbbs-management-seat.xyz	164	10
spam	ATTENTION: Please read this. My name is Kavya. I am 17 years old. My stepfather is abusing me and I need to escape. I need Rs 5,000 for a bus ticket to my aunt's house in another city. I am scared and have no one to help me. Please be my angel today. I am desperate. Do not delay!	280	12
ham	Hi there, Dear candidate, thank you for applying to the Software Engineer position. We would like to schedule a technical interview. Please book a convenient time slot through the careers portal at your earliest. Please acknowledge.	232	6
ham	FYI: Following up: The investor has confirmed Rs 50 lakh in funding for our startup. We need to open a company current account immediately. Please bring your ID and the incorporation certificate tomorrow.	204	5
spam	ACT NOW! Get direct admission to IIT without JEE! Management quota seats available. Contact http://iit-management-quota.net or WhatsApp 9876543210 immediately!	159	10
ham	Did you try making another butt.	32	1
spam	LIMITED TIME: DEAR USER: Dear sir, I got your reference from your neighbor. I am a vastu expert and I can see from the photo of your home that there is a major vastu dosh causing financial losses. A simple remedy costs Rs 5,100 only.	233	7
spam	act soon Your phone number WON our weekly lottery! Rs 25,000 cash prize waiting. Verify at http://lottowin-claim.xyz within 48 hours or prize is forfeited! Act within 2 hours! Respond urgently!	193	11
ham	Quick update: Just a heads up that two major counterparties have been flagged by the credit team for elevated risk. We may want to review our exposure limits with them at this week's regular risk management committee meeting.	225	4
spam	SMSSERVICES. for yourinclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE	156	10
spam	ATTENTION: PROPERTY DEAL: 2BHK flat in prime location at Rs 15 lakh only! Distress sale. Owner needs urgent cash. Booking amount Rs 50,000 only. Call 9876543210 today. Deal will close by tomorrow evening. Call now or miss out!	226	10
ham	Friendly reminder: The industrial training report must be submitted in hard copy to your coordinator along with the company completion certificate within 2 weeks of rejoining college after the internship period.	211	2
spam	ACT NOW! You have been chosen for a FREE international trip to Dubai! enroll at http://dubai-trip-free.xyz and pay only Rs 999 processing fee!	142	9
ham	Hey now am free you can call me.	32	1
spam	PRIORITY MESSAGE: We have received a complaint about your mobile number being used for cybercrime. Your number will be blocked in 2 hours. Call the cyber crime cell at 1800-CYBER immediately!	191	5
ham	FYI: Just to let you know that Your monthly bank statement for February is ready. Account balance is Rs 24,567. View detailed transactions by logging in to internet banking. Contact branch if you notice any discrepancy. Please take note.	237	7
ham	Hi team, Good morning, LAST CHANCE to submit your research paper for the national conference. Extended deadline is tomorrow midnight. Papers submitted after this will not be considered under any circumstances. Thanks!	217	6
spam	FINAL WARNING: Bhaiya, this is very embarrassing but I have no one else to ask. I made a mistake by trusting a friend with money. Now I am stuck in Pune with no money for food or bus fare home. Just Rs 2,000 will save me. I will return it the moment I reach home tomorrow.	272	8
spam	DEAR VALUED CUSTOMER: Attention: Our records indicate that your profile information needs to be updated. kindly confirm your profile details within 48 hours to ensure uninterrupted access to all banking services.	212	4
ham	Velly good, yes please!	23	2
spam	EXCLUSIVE OFFER: Dear Customer, We have noticed suspicious activity in your net banking account. As a security measure your account has been temporarily locked. kindly verify your identity to restore full access right away	222	4
ham	Am I the only one who doesn't stalk profiles?	45	2
spam	DEAR VALUED CUSTOMER: ACT NOW: Dear Account Holder, Our routine security scan has flagged your account for suspicious login attempts. We need you to verify your identity immediately. Please call our 24 hour security helpline right away. Offer expires tonight!	259	7
ham	Cos i was out shopping wif darren jus now n i called him 2 ask wat present he wan lor. Then he started guessing who i was wif n he finally guessed darren lor.	158	2
spam	URGENT! Your mobile number has won Rs 5 lakh in our lucky draw. contact 09876543210 immediately or visit http://lucky-winner-india.com to claim now!	148	9
spam	Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply	157	12
ham	I'm really sorry I lit your hair on fire	40	1
spam	ALERT: Suspicious transaction detected on your account. contact 1800-FRAUD-HELP immediately to reverse Rs 34,999 deducted from your profile	139	5
spam	You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now! Act within 2 hours! Limited time only!	138	4
ham	Pls accept me for one day. Or am begging you change the number.	63	2
spam	EXCLUSIVE OFFER: Dear taxpayer a tax audit has been scheduled for your financial year 2022-23 accounts. Please contact our audit division immediately and arrange your books for inspection to avoid penalties and prosecution. This is your final chance!	250	5
ham	FYI: Dear employee, as part of the annual skill assessment, please complete the technical competency test on the learning portal before 31st March. Results will inform your individual development plan. Thanks!	209	6
ham	FYI: Please note: The professor extended the assignment deadline by 2 days due to the server issue last night. New deadline is Thursday 11:59pm. She sent an email just now. Check your inbox. Thanks for your cooperation.	219	8
ham	I dont have i shall buy one dear	32	0
ham	Just to let you know that Important: The campus will be closed on 26th January for Republic Day. Hostel students can collect special lunch from the mess. No academic activities scheduled. Flag hoisting at 8am. Looking forward to your response.	243	6
spam	EXCLUSIVE! PAYTM SECURITY ALERT: Unusual login detected. Secure your profile at http://paytm-account-secure.net immediately. Ignore at your own risk!	149	11
spam	ATTENTION: I am following up on the proposal sent to your email last week. Our offer is valid only until end of this month. It would be a great opportunity for you. kindly let me know your decision soon.	203	5
ham	Quick update: Your salary for February has been credited to your account. The amount is Rs 45,230 after TDS deduction. Your payslip is available in the HR portal. Contact payroll if you notice any discrepancy.	209	6
spam	EXCLUSIVE OFFER: EXCLUSIVE OFFER: FREE entry into our £250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk	140	7
ham	All day working day:)except saturday and sunday..	49	4
spam	ACT NOW! Your car insurance has EXPIRED! Renew now at 50% discount. Visit http://car-insurance-cheap.net Offer valid today only. Protect your car!	146	12
spam	SPECIAL ALERT: KIDNEY FAILURE TREATMENT: Our ancient Vedic medicine reverses kidney failure and avoids dialysis. Rs 8,000 per month course. 200 patients cured. Call 9876543210 today.	182	7
ham	FYI: Our cultural fest Euphoria 2024 is accepting volunteer applications. Interested students should fill the form at the student affairs office. 300 volunteer positions available across all scheduled events. Do let me know if anything is unclear.	247	5
spam	LIMITED TIME! FREE IPL tickets! Win 2 passes to watch IPL final live. Enter now at http://ipl-ticket-free.xyz Hurry only 100 tickets remaining!	143	10
ham	Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!	85	8
spam	DEAR VALUED CUSTOMER: FREE GOLD COIN: Collect your 1 gram gold coin from our showroom! Bring this SMS and Aadhaar. Valid today only. Call 9988776655 for address.	161	6
spam	IMPORTANT NOTICE: important GPAY SECURITY: Unauthorized transaction of Rs 9,999 initiated. Cancel at http://gpay-cancel-transaction.xyz within 10 minutes!	154	11
ham	Friendly reminder: The group study session tonight is moved from 8pm to 7pm. We need to wrap up earlier because the hostel gates close at 10. Library study room 3 has been booked for us. Please take note.	204	5
ham	I have no money 4 steve mate! !	31	2
ham	Just to let you know that The company is running a referral drive this month. Refer a qualified candidate and earn a referral bonus of Rs 15,000 if they are hired and complete 3 months of employment. Check the policy on the intranet.	233	4
ham	His frens go then he in lor. Not alone wif my mum n sis lor.	60	2
spam	HURRY! WhatsApp GOLD version available! Get 10000 new features. Download at http://whatsapp-gold-download.xyz Share with all contacts to unlock!	144	10
